Supplier Name,Total
4-5 Gray's Inn Square Chambers Limited,"1250.00"
The Manor Nursing and Residential Care,"1230.03"
Little Hayes Care Home,"1222.50"
Beverley Grange Nursing Home,"1209.40"
Blanchworth Care,"1208.12"
Estate 141 Ltd,"1200.00"
Jon Holbrook,"1200.00"
Matthew Feldman,"1200.00"
The Event Hire Company,"1190.00"
Stanholm Residential Care Home for the Elderly,"1185.75"
Wentworth Croft,"1170.52"
Mrs. C.C. von Eisenhart-Goodwin,"1170.00"
Clarence Nursing Home,"1125.16"
Action For Blind People,"1117.20"
Camden Society,"1100.00"
Npower Ltd,"1089.48"
Aquarius Group,"1082.47"
Guiness Trust Estate,"1075.60"
Dynamic Initiatives Ltd,"1067.50"
Drewstead Lodge,"1067.11"
SES Care Homes Ltd,"1065.86"
Mr Gabriel Anderson,"1050.00"
Wallington Removals,"1050.00"
Unique Help Group,"1041.96"
Greensleeves Homes Trust,"1003.49"
Duncan Lewis & Co,"1000.00"
Tailormade Productions,"1000.00"
Sitexorbis Ltd,992.50
Smart Teachers,990.00
West Lodge Residential Care Home,972.78
NowMedical,970.00
Upper Halliford Nursing Home,951.57
DNI Data and Electrical Installations Ltd,930.00
Safe Harbour Nursing Home,926.24
Loomis UK Ltd,922.99
Arlington House Residential Home,908.34
Care2Share Residential Family Centre,875.00
Little Stars Nursery,871.20
Newstead Nursing Home,871.01
Computastat Ltd,852.40
E.On Energy,840.71
London Letterbox Marketing,840.00
Zetetick Housing,837.20
South East London Family Mediation Bureau,819.25
Fostering & Adoptions,815.72
CareOLine,812.30
Thebigword,812.01
Gym-Fix Team Services Ltd,800.00
Kevin Smith,800.00
G4S Care & Justice Services (UK) Ltd,797.50
Ashmount Care Home with Nursing,785.97
City Suburban Tree Surgeons,759.32
Share Community Ltd,751.40
Mr Karl King,750.00
William Martin & Partners LLP,749.50
Safe & Sound,735.00
Southwark Newspaper Ltd,720.00
TM Search Choice Ltd,716.55
Howard Castle Care Centre,700.17
Mr John Church,700.00
Office Team Ltd,693.62
Screwfix Direct,675.95
Miss Paula Diaz,675.00
Cal Brown Ltd,648.50
Port Regis,641.40
Camphill Village Trust,639.80
Dementia UK,620.00
