Supplier Name,Sum of Invoice Nett Amount
Kip McGrath Education Centre,3400.00
Obar Ltd,3370.68
Rocca Creative Thinking Ltd,3360.00
Baby Room,3326.47
Mace Montessori Schools Ltd,3326.47
Clapham Community Project,3310.03
Rainbow Fostering Services Ltd,3268.80
Sir Frederick Snow & Partners Ltd,3267.30
Scott House,3257.48
Esther Ina-Egbe,3200.00
Ladybirds Landscaping & Gardenings Services,3200.00
Cherrycroft Care Home Limited,3198.27
Press Red Ltd,3184.70
TPP,3180.20
Montrose Building Services Ltd,3152.10
Precept Programme Management Ltd,3143.68
The Leaving Care Company Ltd,3137.64
RCP Landscapes Ltd,3132.05
Milton Court Care Centre,3131.00
Sterling International Brokers Ltd,3125.00
The Cloud One Group Ltd,3083.90
Voice For The Child In Care,3081.01
Caburn Supported Services Ltd,3062.50
Bupa Care Homes† Seabrooke Manor Residential & Nursing Home,3058.50
SOLO(ACCOM) Ltd,3050.00
Ashmill Residential Care Home Ltd,3006.34
London South Bank University,3002.00
LKA Educational Consultancy,3000.00
Thelma Suzanne Miller,3000.00
Ai Solutions Ltd,2996.68
RollingSound,2978.00
Mr Dana Rasheed,2950.00
Anchor Trust,2923.52
Immanuel Youth Club,2808.13
Clear Channel UK Ltd,2800.00
CCH Express Cars & Couriers Ltd,2796.65
Courier Cars,2760.40
TP Bennett,2750.00
Friends of Tate South Lambeth Library,2737.00
Angles Guest House,2730.00
Prime Time Recruitment Ltd,2723.88
Write-Trak Ltd,2723.00
Windmill Gateway Club,2713.75
Northgate Information Solutions Uk Ltd,2700.00
Janice Akku,2694.59
Rosina Lodge Residential Home,2689.92
Wentworth Croft,2652.71
PPCR Associates,2648.00
Birkbeck College,2646.00
Extrafriend Ltd,2598.51
Kennedys,2581.50
Prospect Housing & Support Services,2559.01
Drewstead Lodge,2551.57
Whole Nine Yards Productions Ltd.,2550.00
QA Ltd,2500.00
Mr Peter Harrison,2500.00
Mr & Mrs Charles Donkoh,2480.00
Ann Austin,2480.00
The Hornchurch Nursing Centre,2480.00
BAAF,2474.80
Mrs Gwendoline Walters,2452.19
Larkfield Hall Ltd,2437.22
Univent Ltd,2418.44
Killgerm Chemicals Ltd,2415.37
First Intuition,2413.84
Devonshires Solicitors,2410.00
Lakehouse Contracts Ltd,2403.59
Youth Initiatives,2400.00
Mornington Hall Nursing Home,2396.96
eBizApps,2387.50
Francisca Ahonsi,2370.00
Hill House Nursing Home Ltd,2362.20
Orange Personal Communications Services Ltd,2350.00
C.Fletcher Sons & Co.Ltd,2298.70
Care and Residential Homes Ltd,2281.16
Canon (UK) Ltd,2280.42
Consona Limited,2276.81
Jenx Ltd,2263.00
Enmore Lodge Ltd,2253.48
Miss Noemi Byrd,2250.00
Greyhound Cars,2249.65
Roseacre Care Ltd,2247.81
The Queen Alexandra Hospital Home,2229.17
The Swallows,2227.28
West Lodge Nursing & Residential Home,2220.04
Kilncroft Rest Home,2218.94
Cobbetts LLP,2212.33
Symology Ltd,2200.00
Abbeyfield Stangrove Lodge,2199.41
Universal Trailers,2195.00
Crown Dale Medical Centre,2192.00
Fryers Walk Vct Ltd,2181.08
BME Solutions Ltd,2175.00
TCR Training Ltd,2150.00
FTC Kaplan Ltd,2148.18
SECOM Plc,2143.00
Champions Place,2117.70
Ms Grace Aiyetigbo,2108.84
Transport Trading Limited,2100.00
The Brit School,2100.00
Rogers & Co Chartered Building Surveyors,2098.73
Miles & Partners LLP,2095.00
Prevista Ltd,2084.72
Tamaris South East Ltd,2075.85
Audit Commission,2075.00
Primelife,2072.57
Grove House Residential Care Home,2057.51
Brightlights,2050.00
Richmond Upon Thames Churches Housing Trust,2045.03
E.On Energy,2043.88
Norman Bromley Partnership LLP,2041.87
NPS Property† Consultants Ltd,2035.00
Raglan Housing Association,2032.24
Christ the King Residential Care Homes Ltd,2012.83
Teddies Nurseries Ltd,2006.39
Saxon Court,2003.31
Ian Tait and Co Ltd,2000.00
Powell Forster Solictors,2000.00
Kenson Network Engineering Ltd,1999.00
Treework Environmental Practice,1993.00
Excelcare Ltd,1984.13
Abbeyfield The Dynes,1970.71
Bikeworks CIC,1960.00
Greenbushes Nursing Home,1957.25
The London Care Project,1955.61
Steelcase Plc,1953.00
Greendale Projects Limited,1951.50
Rusthall Lodge Nursing Home,1939.32
Vale House Stabilistion Services Ltd,1934.44
Ledra Services Ltd,1920.00
Matrix Training Associates Ltd,1904.00
Foley House,1901.01
Bertram Library Services,1900.45
South Bank Centre London,1900.00
Presentation,1888.12
Johnson Austin Partnership LLP,1877.38
Kent Community Housing Trust,1868.23
Dementia UK,1860.00
Leys Park Care Centre,1852.38
Friends Of Carnegie Library,1850.00
Lambeth Accord,1847.00
Mount Carmel,1844.55
Ravenscourt,1842.27
College Engineering Services,1841.66
Notting Hill Housing Trust,1834.88
Mr Esala Ayuba-Kuwu,1826.16
Lambeth Asian Centre,1822.50
Smart Teachers,1818.00
Thebigword,1813.85
Dudley House Care Home,1803.85
Regenesys Limited,1800.00
Link Fostering Agency,1793.62
Howard Castle Care Centre,1789.14
Old Clapham Library,1787.50
London Advice Services Alliance Co Ltd,1784.00
EMM LANE AND WESTBANK CARE HOME,1779.27
Bookscan Library Services,1758.21
Albany Lodge Nursing Home,1757.53
Parkcare Homes No 2 Ltd,1741.05
